t1	t2	t3	n1	n2	n3	r1	r2	r3	na
1       4       NA      19      21      NA      0       0       NA       2
1       4       NA      50      50      NA      2       1       NA      2
1       4       NA      22      22      NA      0       0       NA      2
1       4       NA      11      12      NA      0       0       NA      2
1       4       NA      15      15      NA      0       0       NA      2
1       3       4       15      15      15      1       0       0       3
1       3       4       80      80      80      1       0       0       3
1       4       NA      50      150     NA      0       0       NA      2
3       4       NA      137     132     NA      2       1       NA      2
1       2       NA      35      35      NA      0       0       NA      2
1       2       NA      49      51      NA      0       0       NA      2
1       3       NA      55      57      NA      1       0       NA      2
1       4       NA      50      50      NA      0       1       NA      2
2       4       NA      20      20      NA      0       0       NA      2
1       2       NA      30      30      NA      0       0       NA      2
1       2       NA      10      20      NA      0       0       NA      2
1       2       NA      33      39      NA      0       0       NA      2
1       3       NA      61      59      NA      2       0       NA      2
1       2       NA      20      20      NA      1       1       NA      2
1       3       NA      14      14      NA      0       0       NA      2
1       2       NA      12      12      NA      0       0       NA      2
1       3       NA      91      91      NA      0       0       NA      2
1       4       NA      62      62      NA      0       2       NA      2
2       4       NA      142     142     NA      4       1       NA      2
1       2       4       120     120     120     2       0       1       3
1       2       NA      22      23      NA      1       0       NA      2
2       3       NA      20      21      NA      1       2       NA      2
1       3       NA      55      52      NA      3       1       NA      2
1       3       NA      75      75      NA      1       1       NA      2
1       2       4       20      20      20      0       0       0       3




