"y1"	    "y2"     "y3"   "se1"       "se2"    "se3"   "t1"       "t2"        "t3"    "na"  "des"
0.2         -1.7      NA     0.1         0.1      NA     1          2           NA      2       1 
0.08        -0.74     NA     0.084       0.053    NA     1          2           NA      2      1
-1.3         -2.3     -2.5   0.34        0.32     0.16   1          5           2       3      2
0.14         -1.2      NA     0.101      0.101      NA     1          3           NA      2     3   
0.2         -0.9      NA     0.080       0.081      NA     1          3           NA      2      3  
0.1         -1.2      NA     0.076       0.101      NA     1          4           NA      2       4 
-0.14         -0.91      NA     0.074    0.078      NA     1          3           NA      2        3
7.45         7.61      NA     0.06       0.06     NA       2          4           NA      2        4
6.7          6.8       NA     0.139      0.119      NA     3          4           NA      2         6      
0.1          -1.2       NA     0.068     0.075      NA     1          3           NA      2          3     
-0.08          -1.17       NA     0.16   0.16      NA     1          3           NA      2     3
-0.4          -1.9       NA     0.127    0.101      NA     1          3           NA      2    3 
-0.95          -1.09       NA     0.153   0.163      NA     2          3           NA      2    7
-1.1          0.1      NA      0.122     0.076      NA     3          7           NA      2    8
-0.7          -0.3       NA     0.125    0.091      NA     5          7           NA      2    9
-0.3          -1.1       NA     0.13     0.06      NA     1          5           NA      2     10
0.27          -0.3       NA     0.091    0.091      NA     1          8           NA      2    11
0.07          -0.63       NA     0.09    0.09      NA     1          9           NA      2     12
0.13          0.5       NA     0.084     0.084      NA     2          7           NA      2     13
0.33          -0.41       NA     0.13    0.13      NA     1          6           NA      2      14
0.98          -0.43       NA     0.2     0.1      NA     1          6           NA      2       14
-1.1          -1.1       NA     0.152    0.178      NA     2          3           NA      2      15
0.56          -0.12       NA     0.2     0.2      NA     1          6           NA      2       14
-0.9          -1.3       NA     0.296    0.319      NA     1          2           NA      2     1
8.26          8.03       NA     0.246    0.244      NA     1          10           NA      2    16
0.19          -0.82       NA     0.11    0.081      NA     1          10           NA      2    16
