"t1"	    "t2"     "t3"   "E1"       "E2"    "E3"    "r1"	 "r2"       "r3"        "na"
1           2        NA      1917      1925     NA     113       111        NA          2
1           2        2       43.6      41.3     38     1         5          3           3
1           2        NA      393.5     373.9    NA     24        20         NA          2
1           2        NA      4715      4823     NA     248       269        NA          2
1           2        NA      715       751      NA     31        28         NA          2
1           2        NA      885       895      NA     65        48         NA          2
1           2        NA      87.8      91       NA     3         1          NA          2
1           2        NA      1011      939      NA     28        39         NA          2
1           2        NA      1544      1588     NA     177       174        NA          2
1           2        NA      125       123      NA     2         1          NA          2





