"trial ID"	"time"	"y1"	"y2"	"y3"	"y4"	"n1"	"n2"	"n3"	"n4"	"t1"	"t2"	"t3"	"t4"	na	"C1"	"C2"	"C3"  "des"
1       	1	5.46	4.69	NA	NA	90	164	NA	NA	1	5	NA	NA	2	2	NA	NA    1
2       	3	7.33	6.42	NA	NA	380	761	NA	NA	2	3	NA	NA	2	3	NA	NA    2
3	        3	7.68	6.07	NA	NA	376	364	NA	NA	2	3	NA	NA	2	3	NA	NA    2
4	        2.5	9.79	7.02	NA	NA	140	280	NA	NA	2	4	NA	NA	2	3	NA	NA    3
5	        1.5	9.25	4.5	NA	NA	160	160	NA	NA	1	5	NA	NA	2	2	NA	NA    1 
6	        2	2.9	2.07	NA	NA	90	270	NA	NA	2	6	NA	NA	2	3	NA	NA    4
7	        2	2.58	1.48	NA	NA	116	98	NA	NA	1	6	NA	NA	2	2	NA	NA    5
8       	2	7.03	5.56	NA	NA	323	955	NA	NA	2	3	NA	NA	2	3	NA	NA    2
9       	2	7.26	4.56	NA	NA	105	103	NA	NA	1	5	NA	NA	2	2	NA	NA    1
10              3	16.6	13.01	NA	NA	427	859	NA	NA	2	3	NA	NA	2	3	NA	NA    2
11      	3	4.05	3.54	NA	NA	708	1300	NA	NA	2	3	NA	NA	2	3	NA	NA    2
12      	2.5	3.11	2.5	NA	NA	234	442	NA	NA	2	6	NA	NA	2	3	NA	NA    4
13      	2	8.15	5.28	NA	NA	78	115	NA	NA	1	5	NA	NA	2	2	NA	NA    1
14      	3	3.82	3.14	NA	NA	311	278	NA	NA	2	5	NA	NA	2	3	NA	NA    6
15      	2	2.59	1.77	NA	NA	48	49	NA	NA	1	4	NA	NA	2	2	NA	NA    7
16      	2	7.55	4.41	NA	NA	158	317	NA	NA	2	4	NA	NA	2	3	NA	NA    3
17      	2	11.55	4.45	NA	NA	20	22	NA	NA	2	3	NA	NA	2	3	NA	NA    2
18      	2	2.3	1.92	NA	NA	23	24	NA	NA	2	3	NA	NA	2	3	NA	NA    2
19      	2.5	2.24	1.4	NA	NA	151	373	NA	NA	2	4	NA	NA	2	3	NA	NA    3
20      	3	3.24	2.82	NA	NA	225	711	NA	NA	2	4	NA	NA	2	3	NA	NA    3
21      	1.75	4.39	1	NA	NA	195	305	NA	NA	1	5	NA	NA	2	2	NA	NA    1
22      	2.6	2.2	1.57	NA	NA	220	337	NA	NA	1	5	NA	NA	2	2	NA	NA    1
23      	2	12.23	9.67	NA	NA	422	422	NA	NA	2	3	NA	NA	2	3	NA	NA    2
24      	2	7.47	6.22	NA	NA	161	292	NA	NA	2	4	NA	NA	2	3	NA	NA    3
25      	3	8.34	6.83	NA	NA	449	890	NA	NA	2	3	NA	NA	2	3	NA	NA    2
26      	2	3.25	2.92	NA	NA	145	414	NA	NA	2	3	NA	NA	2	3	NA	NA    2
27      	2	5.67	5.24	NA	NA	132	262	NA	NA	2	3	NA	NA	2	3	NA	NA    2
28      	2	11.72	10.06	NA	NA	288	306	NA	NA	2	4	NA	NA	2	3	NA	NA    3
29      	3	6.44	4.75	NA	NA	163	165	NA	NA	2	3	NA	NA	2	3	NA	NA    2
30      	3	0.5	0.44	NA	NA	98	182	NA	NA	2	5	NA	NA	2	3	NA	NA    6
31      	3	7.36	5.31	NA	NA	168	178	NA	NA	2	3	NA	NA	2	3	NA	NA    2
32      	2.5	3.21	2.39	NA	NA	286	567	NA	NA	2	3	NA	NA	2	3	NA	NA    2
33      	2	4.4	3.19	NA	NA	103	213	NA	NA	2	5	NA	NA	2	3	NA	NA    6
34      	3	7.23	5.3	NA	NA	472	473	NA	NA	2	3	NA	NA	2	3	NA	NA    2
35      	2	7.16	5.39	NA	NA	140	163	NA	NA	2	3	NA	NA	2	3	NA	NA    2
36      	3	7.97	5.71	NA	NA	138	146	NA	NA	2	3	NA	NA	2	3	NA	NA    2
37      	3	13.83	10.68	NA	NA	151	146	NA	NA	2	3	NA	NA	2	3	NA	NA    2
38      	3	0.74	0.7	NA	NA	545	538	NA	NA	2	4	NA	NA	2	3	NA	NA    3
39      	2	4.26	3.94	NA	NA	148	161	NA	NA	2	5	NA	NA	2	3	NA	NA    6
40      	2	7.53	5.1	NA	NA	154	259	NA	NA	2	4	NA	NA	2	3	NA	NA    3
41      	3	4.08	2.65	NA	NA	204	394	NA	NA	2	4	NA	NA	2	3	NA	NA    3
42      	3	13.2	2.6	NA	NA	31	32	NA	NA	2	3	NA	NA	2	3	NA	NA    2
43      	3	8	5.5	NA	NA	17	19	NA	NA	2	3	NA	NA	2	3	NA	NA    2
44      	2	5.6	6.1	NA	NA	18	14	NA	NA	2	3	NA	NA	2	3	NA	NA    2
45       	3	7.83	6.43	NA	NA	202	597	NA	NA	2	3	NA	NA	2	3	NA	NA    2
46      	2	3.15	1.43	NA	NA	53	42	NA	NA	1	6	NA	NA	2	2	NA	NA    5
47      	3	5.87	4.88	NA	NA	309	329	NA	NA	2	3	NA	NA	2	3	NA	NA    2
48      	3	8.61	6.51	NA	NA	170	182	NA	NA	1	5	NA	NA	2	2	NA	NA    1
49      	1.6	1.29	1.08	NA	NA	123	133	NA	NA	2	4	NA	NA	2	3	NA	NA    3
50      	1.6	2.92	1.65	NA	NA	110	98	NA	NA	2	4	NA	NA	2	3	NA	NA    3
51      	3	11.48	7.68	NA	NA	117	116	NA	NA	2	5	NA	NA	2	3	NA	NA    6
52      	3	7.69	5.71	NA	NA	242	253	NA	NA	2	3	NA	NA	2	3	NA	NA    2
53         	2	3.13	1.84	NA	NA	63	56	NA	NA	1	5	NA	NA	2	2	NA	NA    1
54      	3	8.2	7.23	NA	NA	433	438	NA	NA	2	3	NA	NA	2	3	NA	NA    2
55      	3	5.2	4.26	NA	NA	397	406	NA	NA	2	3	NA	NA	2	3	NA	NA    2
56      	3	11.8	8.2	NA	NA	379	403	NA	NA	2	3	NA	NA	2	3	NA	NA    2
57      	3	3.41	2.14	NA	NA	345	354	NA	NA	2	3	NA	NA	2	3	NA	NA    2
58      	1	1.59	1.66	NA	NA	79	77	NA	NA	2	3	NA	NA	2	3	NA	NA    2
59      	3	6.16	4.6	NA	NA	134	117	NA	NA	2	4	NA	NA	2	3	NA	NA    3
60      	2	4.93	4.82	NA	NA	137	114	NA	NA	2	4	NA	NA	2	3	NA	NA    3
61      	2	10.66	6.56	NA	NA	38	32	NA	NA	2	3	NA	NA	2	3	NA	NA    2
62      	3	6.37	5.67	NA	NA	128	127	NA	NA	2	3	NA	NA	2	3	NA	NA    2
63      	1	4	0.9	NA	NA	61	60	NA	NA	1	6	NA	NA	2	2	NA	NA    5
64      	2.4	1.62	1.05	NA	NA	97	226	NA	NA	2	4	NA	NA	2	3	NA	NA    3
65      	3	5.43	3.71	NA	NA	575	592	NA	NA	2	3	NA	NA	2	3	NA	NA    2
66      	4	11	8.88	NA	NA	224	458	NA	NA	2	3	NA	NA	2	3	NA	NA    2
67      	3	7.71	5.31	NA	NA	124	145	NA	NA	2	3	NA	NA	2	3	NA	NA    2
68      	3	15.25	11.33	NA	NA	32	42	NA	NA	2	3	NA	NA	2	3	NA	NA    2
69      	6	8.39	5.62	NA	NA	59	50	NA	NA	2	3	NA	NA	2	3	NA	NA    2
70      	2	5.74	4.72	NA	NA	247	496	NA	NA	2	4	NA	NA	2	3	NA	NA    3
71      	3	5.57	4.83	NA	NA	190	197	NA	NA	2	3	NA	NA	2	3	NA	NA    2 
72      	1	4.16	3.02	NA	NA	87	87	NA	NA	1	5	NA	NA	2	2	NA	NA    1
73      	3	2	1.4	NA	NA	107	87	NA	NA	1	6	NA	NA	2	2	NA	NA    5
74      	2.5	5.12	3.57	NA	NA	150	145	NA	NA	2	4	NA	NA	2	3	NA	NA    3
75      	2	6.2	5.16	NA	NA	50	150	NA	NA	2	4	NA	NA	2	3	NA	NA    3
76      	2.5	5.6	4.2	NA	NA	91	73	NA	NA	1	4	NA	NA	2	2	NA	NA    7
77      	1	2.42	1.55	NA	NA	225	219	NA	NA	2	3	NA	NA	2	3	NA	NA    2
78      	1	4.05	2.87	NA	NA	235	201	NA	NA	2	3	NA	NA	2	3	NA	NA    2
79      	3	6.43	4.48	NA	NA	356	750	NA	NA	2	3	NA	NA	2	3	NA	NA    2
80      	3	9.22	7.94	NA	NA	479	494	NA	NA	2	3	NA	NA	2	3	NA	NA    2
81      	3	10.42	8.09	NA	NA	306	319	NA	NA	2	3	NA	NA	2	3	NA	NA    2
