"r1" "n1" "r2" "n2" "r3" "n3" "r4" "n4" "t1" "t2" "t3" "t4" "na" "des" "males" "stroke" "age" "followup"
9 181 5 187 NA 1 NA 1 1 2 NA NA 2 1 74.5 3.5 67.5 15.2
143 6022 111 6076 159 6015 NA 1 2 3 4 NA 3 2 63.3 20 71.66 24
19 265 4 260 NA 1 NA 1 1 2 NA NA 2 1 100 0 67 21
3 170 5 169 5 167 8 171 2 5 6 15 4 3 60 5.75 73.25 42
2 131 4 141 NA 1 NA 1 2 5 NA NA 2 4 50.5 4.5 70.5 35.05
10 454 18 462 NA 1 NA 1 2 7 NA NA 2 5 47.5 49.5 72.5 12
0 153 5 152 NA 1 NA 1 2 6 NA NA 2 6 68.5 0 74.5 14.45
42 3371 90 3335 NA 1 NA 1 2 8 NA NA 2 7 66.5 15 70 15.4
20 2107 13 1922 NA 1 NA 1 2 9 NA NA 2 8 66 27.5 70 10.65
13 208 2 212 NA 1 NA 1 1 2 NA NA 2 1 73 3 68.5 26.4
39 214 16 225 NA 1 NA 1 1 2 NA NA 2 1 56.5 28.5 70.5 27.6
17 211 6 210 NA 1 NA 1 1 2 NA NA 2 1 72 8 65.5 15.6
26 555 37 545 NA 1 NA 1 2 5 NA NA 2 4 67.5 NA NA 27.6
11 523 43 521 NA 1 NA 1 2 15 NA NA 2 9 60.5 NA 71.5 13.2
46 1703 32 1704 NA 1 NA 1 2 10 NA NA 2 10 69 24 70 17.4
36 1962 45 1960 NA 1 NA 1 2 10 NA NA 2 10 69.5 18.5 72 20
221 7090 218 7081 NA 1 NA 1 2 11 NA NA 2 11 60 55 71 22.8
155 9081 149 9120 NA 1 NA 1 2 12 NA NA 2 12 65 19.5 70 21.6
235 7036 333 7034 236 7035 NA 1 2 13 14 NA 3 13 62 28.33 71.66 33.6
